,0,1,2,3,4
0,1218,1922.0,"""Congress is allowing itself to be an exception rather than being an example, which we should be,""",['Porter'],Congress—U.S. House of Representatives
0,1228,1934.0,"""anxiety baking may be the better term of art these days.""",['Sam Sifton'],Food and Nutrition Service
0,1230,1937.0,"""Isn’t this race over?""",['Hakeem Jeffries'],Congress—U.S. House of Representatives
0,1234,1944.0,"""primarily to underresourced countries.""",['Anne Schuchat' 'W.H.O.'],Centers for Disease Control and Prevention (CDC)
0,1237,1945.0,"""there’s concerns about, say, doctor’s offices and health care workers.""",['Shelley Moore Capito'],Congress—U.S. House of Representatives
0,1242,1950.0,"""primarily to underresourced countries.""",['Anne Schuchat' 'W.H.O.'],Centers for Disease Control and Prevention (CDC)
0,1251,1962.0,"""warp speed for the Senate,""",['McConnell'],Senate
0,1254,1965.0,"""there’s concerns about, say, doctor’s offices and health care workers.""",['Shelley Moore Capito'],Congress—U.S. House of Representatives
0,1261,1972.0,"""It’s on the mend,""",['Gennadiy Goldberg'],Department of the Treasury
0,1262,1972.0,"""The facility will allow primary dealers to support smooth market functioning and facilitate the availability of credit to businesses and households,""",['Fed'],Court of Federal Claims
0,1263,1972.0,"""Commercial paper markets directly finance a wide range of economic activity,""",['Fed'],Court of Federal Claims
0,1264,1972.0,"""This Fed facility ensures that companies can get the overnight funding they need to meet short-term obligations like payroll,""",['Ernie Tedeschi' 'Fed'],Court of Federal Claims
0,1265,1972.0,"""has already created significant stability in the market today.""",['Fed'],Court of Federal Claims
0,1266,1972.0,"""credit and funding for auto loans and mortgages as well as liquidity to meet the operational needs of a range of companies.""",['Fed'],Court of Federal Claims
0,1273,1985.0,"""They talk about reinventing the wheel, this is the wheel inventing right here,""",['Patrick Cordova'],Coast Guard
0,1279,1989.0,"""My Daughter Passes for White,""",['Seema Jilani'],White House
0,1287,2002.0,"""Commercial paper markets directly finance a wide range of economic activity,""",['Fed'],Court of Federal Claims
0,1288,2002.0,"""credit and funding for auto loans and mortgages as well as liquidity to meet the operational needs of a range of companies.""",['Fed'],Court of Federal Claims
0,1308,2029.0,"""Commercial paper markets directly finance a wide range of economic activity,""",['Fed'],Court of Federal Claims
0,1309,2029.0,"""The commercial paper market has been under considerable strain in recent days as businesses and households face greater uncertainty in light of the coronavirus outbreak,""",['Fed'],Court of Federal Claims
0,1310,2029.0,"""credit and funding for auto loans and mortgages as well as liquidity to meet the operational needs of a range of companies.""",['Fed'],Court of Federal Claims
0,1319,2040.0,"""Safety procedures have been put in place at every polling location,""",['Grodsky'],Center for Food Safety and Applied Nutrition
0,1328,2075.0,"""We’d much rather be ahead of the curve than behind it,""",['Trump'],White House
0,1331,2079.0,"""We’d much rather be ahead of the curve than behind it,""",['Trump'],White House
0,1351,2110.0,"""We need an adult in the White House, first and foremost,""",['Ringler'],White House
